Date,Open,High,Low,Close,Adj Close,Volume
2019-06-27,189.880005,198.880005,188.270004,189.500000,189.500000,11159000
2019-06-28,190.550003,193.199997,189.940002,193.000000,193.000000,16378900
2019-07-01,195.210007,195.279999,191.929993,193.000000,193.000000,14181800
2019-07-02,193.000000,195.000000,192.710007,195.000000,195.000000,9050000
2019-07-03,194.160004,197.399994,194.160004,197.199997,197.199997,10246100
2019-07-05,196.179993,197.070007,194.169998,196.399994,196.399994,11164100
2019-07-08,195.190002,196.679993,193.639999,195.759995,195.759995,9723900
2019-07-09,194.970001,199.460007,194.889999,199.210007,199.210007,14698600
2019-07-10,200.000000,202.960007,199.669998,202.729996,202.729996,20571700
2019-07-11,203.259995,203.800003,200.210007,201.229996,201.229996,13678500
2019-07-12,199.679993,205.300003,199.160004,204.869995,204.869995,15366300
2019-07-15,204.250000,205.330002,201.820007,203.910004,203.910004,16030300
2019-07-16,203.889999,205.470001,203.100006,203.839996,203.839996,12132700
2019-07-17,204.179993,204.360001,201.589996,201.800003,201.800003,12083700
2019-07-18,200.149994,202.470001,199.380005,200.779999,200.779999,11937900
2019-07-19,202.179993,202.330002,198.070007,198.360001,198.360001,12098300
2019-07-22,199.910004,202.570007,198.809998,202.320007,202.320007,13589000
2019-07-23,202.839996,204.240005,200.960007,202.360001,202.360001,14583700
2019-07-24,197.630005,204.809998,197.220001,204.660004,204.660004,32532500
2019-07-25,206.699997,208.660004,198.259995,200.710007,200.710007,39889900
2019-07-26,200.190002,202.880005,196.250000,199.750000,199.750000,24434000
2019-07-29,199.000000,199.630005,195.300003,195.940002,195.940002,16530800
2019-07-30,195.389999,198.710007,193.500000,197.039993,197.039993,11903600
2019-07-31,196.949997,198.759995,192.679993,194.229996,194.229996,14593500
2019-08-01,194.169998,198.470001,190.880005,192.729996,192.729996,17777000
2019-08-02,191.100006,192.619995,188.070007,189.020004,189.020004,15297000
2019-08-05,184.690002,185.669998,179.339996,181.729996,181.729996,23086700
2019-08-06,183.690002,185.789993,183.089996,184.509995,184.509995,18035700
2019-08-07,183.600006,186.369995,181.220001,185.149994,185.149994,15833200
2019-08-08,186.619995,190.339996,184.050003,190.160004,190.160004,14828900
2019-08-09,190.000000,190.979996,187.119995,187.850006,187.850006,11058800
2019-08-12,186.850006,187.589996,184.460007,185.369995,185.369995,10930900
2019-08-13,185.520004,191.380005,185.369995,188.449997,188.449997,13577000
2019-08-14,185.800003,185.990005,179.309998,179.710007,179.710007,18903700
2019-08-15,180.949997,183.199997,180.029999,182.589996,182.589996,12925900
