Date,Open,High,Low,Close,Adj Close,Volume
2019-06-27,1086.750000,1088.459961,1075.849976,1076.630005,1076.630005,1203900
2019-06-28,1077.229980,1082.800049,1073.800049,1082.800049,1082.800049,1683600
2019-07-01,1101.040039,1108.589966,1095.329956,1100.000000,1100.000000,1459800
2019-07-02,1104.829956,1112.890015,1099.670044,1112.599976,1112.599976,1031500
2019-07-03,1118.500000,1127.989990,1114.849976,1122.989990,1122.989990,1007700
2019-07-05,1119.369995,1134.650024,1117.500000,1132.670044,1132.670044,1489700
2019-07-08,1125.869995,1127.209961,1111.760010,1116.790039,1116.790039,1494400
2019-07-09,1110.319946,1127.859985,1107.150024,1124.290039,1124.290039,1473600
2019-07-10,1132.319946,1142.339966,1130.660034,1140.910034,1140.910034,1535500
2019-07-11,1146.160034,1153.239990,1139.530029,1144.079956,1144.079956,1300200
2019-07-12,1142.930054,1147.500000,1138.560059,1145.339966,1145.339966,1093900
2019-07-15,1145.339966,1150.680054,1140.000000,1150.510010,1150.510010,1058200
2019-07-16,1146.729980,1158.579956,1146.729980,1153.459961,1153.459961,1267600
2019-07-17,1150.920044,1158.439941,1146.619995,1146.739990,1146.739990,976900
2019-07-18,1142.000000,1148.170044,1132.859985,1147.239990,1147.239990,1272500
2019-07-19,1149.319946,1151.579956,1131.250000,1131.550049,1131.550049,1159200
2019-07-22,1135.469971,1140.020020,1125.209961,1139.209961,1139.209961,1445700
2019-07-23,1143.449951,1148.859985,1132.849976,1148.050049,1148.050049,1032400
2019-07-24,1132.619995,1145.459961,1128.510010,1139.729980,1139.729980,1359600
2019-07-25,1138.949951,1143.589966,1123.709961,1135.939941,1135.939941,2738100
2019-07-26,1228.000000,1268.390015,1228.000000,1245.219971,1245.219971,6060800
2019-07-29,1242.500000,1248.989990,1230.199951,1241.839966,1241.839966,2069100
2019-07-30,1227.000000,1236.910034,1225.319946,1228.000000,1228.000000,1430800
2019-07-31,1224.869995,1234.910034,1208.180054,1218.199951,1218.199951,1998000
2019-08-01,1217.630005,1236.300049,1207.000000,1211.780029,1211.780029,1771300
2019-08-02,1203.000000,1209.500000,1190.000000,1196.319946,1196.319946,1745500
2019-08-05,1172.969971,1176.880005,1142.750000,1154.750000,1154.750000,2392000
2019-08-06,1165.520020,1181.400024,1161.530029,1171.079956,1171.079956,1800700
2019-08-07,1157.800049,1179.869995,1150.839966,1175.910034,1175.910034,1534300
2019-08-08,1186.430054,1206.280029,1174.000000,1206.189941,1206.189941,1505800
2019-08-09,1199.989990,1204.459961,1184.890015,1188.900024,1188.900024,1020900
2019-08-12,1180.000000,1185.609985,1168.719971,1174.500000,1174.500000,1103200
2019-08-13,1174.349976,1205.430054,1172.989990,1196.729980,1196.729980,1421700
2019-08-14,1176.069946,1182.790039,1161.069946,1164.250000,1164.250000,1771500
2019-08-15,1168.430054,1176.420044,1163.000000,1169.319946,1169.319946,1425300
2019-08-16,1180.790039,1183.839966,1173.000000,1179.209961,1179.209961,1245800
2019-08-19,1191.829956,1209.390015,1190.400024,1200.439941,1200.439941,1222500
2019-08-20,1195.349976,1198.000000,1183.050049,1183.530029,1183.530029,1010300
2019-08-21,1195.819946,1200.560059,1187.920044,1191.579956,1191.579956,707600
2019-08-22,1193.800049,1198.780029,1178.910034,1191.520020,1191.520020,867600
2019-08-23,1185.170044,1195.670044,1150.000000,1153.579956,1153.579956,1812700
2019-08-26,1159.449951,1171.859985,1154.849976,1171.180054,1171.180054,1058300
2019-08-27,1183.000000,1185.000000,1164.560059,1170.819946,1170.819946,1173000
2019-08-28,1164.869995,1178.500000,1160.250000,1173.750000,1173.750000,840500
2019-08-29,1186.420044,1199.189941,1185.280029,1194.239990,1194.239990,981800
2019-08-30,1200.349976,1200.349976,1185.719971,1190.530029,1190.530029,903200
2019-09-03,1181.849976,1189.079956,1163.709961,1169.550049,1169.550049,1295400
2019-09-04,1179.449951,1184.880005,1171.530029,1182.270020,1182.270020,1065600
2019-09-05,1193.660034,1214.000000,1192.689941,1212.189941,1212.189941,1319700
2019-09-06,1209.140015,1212.949951,1203.260010,1206.319946,1206.319946,948600
2019-09-09,1207.079956,1220.550049,1193.170044,1205.270020,1205.270020,1592700
2019-09-10,1196.089966,1210.000000,1196.010010,1205.699951,1205.699951,1396100
